ID;Time[s];JTAG: States
0;0.691107;SELECT-DR-SCAN
1;0.691109;SELECT-IR-SCAN
2;0.691111;TEST-LOGIC-RESET
3;0.691113;TEST-LOGIC-RESET
4;0.691115;TEST-LOGIC-RESET
5;0.691621;RUN-TEST/IDLE
6;0.692485;SELECT-DR-SCAN
7;0.692487;SELECT-IR-SCAN
8;0.692489;TEST-LOGIC-RESET
9;0.692491;TEST-LOGIC-RESET
10;0.692493;TEST-LOGIC-RESET
11;0.693499;RUN-TEST/IDLE
12;0.694507;SELECT-DR-SCAN
13;0.694509;SELECT-IR-SCAN
14;0.694511;CAPTURE-IR
15;0.694513;SHIFT-IR
16;0.695493;SHIFT-IR
17;0.695495;SHIFT-IR
18;0.695497;SHIFT-IR
19;0.695499;SHIFT-IR
20;0.695501;SHIFT-IR
21;0.695503;SHIFT-IR
22;0.695505;SHIFT-IR
23;0.695507;EXIT1-IR
24;0.69649;UPDATE-IR
25;0.696492;RUN-TEST/IDLE
26;0.697494;SELECT-DR-SCAN
27;0.697496;CAPTURE-DR
28;0.697498;SHIFT-DR
29;0.69863;SHIFT-DR
30;0.698632;SHIFT-DR
31;0.698634;SHIFT-DR
32;0.698636;SHIFT-DR
33;0.698638;SHIFT-DR
34;0.69864;SHIFT-DR
35;0.698642;SHIFT-DR
36;0.698644;SHIFT-DR
37;0.698648;SHIFT-DR
38;0.69865;SHIFT-DR
39;0.698652;SHIFT-DR
40;0.698654;SHIFT-DR
41;0.698656;SHIFT-DR
42;0.698658;SHIFT-DR
43;0.69866;SHIFT-DR
44;0.698662;SHIFT-DR
45;0.698667;SHIFT-DR
46;0.698668;SHIFT-DR
47;0.69867;SHIFT-DR
48;0.698672;SHIFT-DR
49;0.698674;SHIFT-DR
50;0.698676;SHIFT-DR
51;0.698678;SHIFT-DR
52;0.69868;SHIFT-DR
53;0.698685;SHIFT-DR
54;0.698687;SHIFT-DR
55;0.698689;SHIFT-DR
56;0.698691;SHIFT-DR
57;0.698692;SHIFT-DR
58;0.698694;SHIFT-DR
59;0.698696;SHIFT-DR
60;0.698698;EXIT1-DR
61;0.699509;UPDATE-DR
62;0.699511;RUN-TEST/IDLE
63;0.700504;SELECT-DR-SCAN
64;0.700506;SELECT-IR-SCAN
65;0.700508;CAPTURE-IR
66;0.70051;SHIFT-IR
67;0.701506;SHIFT-IR
68;0.701508;SHIFT-IR
69;0.70151;SHIFT-IR
70;0.701512;SHIFT-IR
71;0.701514;SHIFT-IR
72;0.701516;SHIFT-IR
73;0.701518;SHIFT-IR
74;0.70152;EXIT1-IR
75;0.702498;UPDATE-IR
76;0.7025;RUN-TEST/IDLE
77;0.703499;SELECT-DR-SCAN
78;0.703501;SELECT-IR-SCAN
79;0.703503;CAPTURE-IR
80;0.703505;SHIFT-IR
81;0.707603;SHIFT-IR
82;0.707605;SHIFT-IR
83;0.707607;SHIFT-IR
84;0.707609;SHIFT-IR
85;0.707611;SHIFT-IR
86;0.707613;SHIFT-IR
87;0.707615;SHIFT-IR
88;0.707617;EXIT1-IR
89;0.708652;UPDATE-IR
90;0.708654;RUN-TEST/IDLE
91;0.709668;SELECT-DR-SCAN
92;0.70967;CAPTURE-DR
93;0.709672;SHIFT-DR
94;0.710663;SHIFT-DR
95;0.710665;SHIFT-DR
96;0.710667;SHIFT-DR
97;0.710669;SHIFT-DR
98;0.710671;SHIFT-DR
99;0.710673;SHIFT-DR
100;0.710675;SHIFT-DR
101;0.710677;SHIFT-DR
102;0.710681;SHIFT-DR
103;0.710683;SHIFT-DR
104;0.710685;SHIFT-DR
105;0.710687;SHIFT-DR
106;0.710689;SHIFT-DR
107;0.710691;SHIFT-DR
108;0.710693;SHIFT-DR
109;0.710695;SHIFT-DR
110;0.7107;SHIFT-DR
111;0.710702;SHIFT-DR
112;0.710704;SHIFT-DR
113;0.710705;SHIFT-DR
114;0.710707;SHIFT-DR
115;0.710709;SHIFT-DR
116;0.710711;SHIFT-DR
117;0.710713;SHIFT-DR
118;0.710718;SHIFT-DR
119;0.71072;SHIFT-DR
120;0.710722;SHIFT-DR
121;0.710724;SHIFT-DR
122;0.710726;SHIFT-DR
123;0.710728;SHIFT-DR
124;0.71073;SHIFT-DR
125;0.710731;EXIT1-DR
126;0.711636;UPDATE-DR
127;0.711638;RUN-TEST/IDLE
128;0.712635;SELECT-DR-SCAN
129;0.712636;SELECT-IR-SCAN
130;0.712638;CAPTURE-IR
131;0.71264;SHIFT-IR
132;0.71363;SHIFT-IR
133;0.713632;SHIFT-IR
134;0.713634;SHIFT-IR
135;0.713636;SHIFT-IR
136;0.713638;SHIFT-IR
137;0.71364;SHIFT-IR
138;0.713642;SHIFT-IR
139;0.713644;EXIT1-IR
140;0.714621;UPDATE-IR
141;0.714623;RUN-TEST/IDLE
142;0.715624;SELECT-DR-SCAN
143;0.715626;SELECT-IR-SCAN
144;0.715628;CAPTURE-IR
145;0.71563;SHIFT-IR
146;0.716631;SHIFT-IR
147;0.716633;SHIFT-IR
148;0.716635;SHIFT-IR
149;0.716637;SHIFT-IR
150;0.716639;SHIFT-IR
151;0.716641;SHIFT-IR
152;0.716643;SHIFT-IR
153;0.716645;EXIT1-IR
154;0.717619;UPDATE-IR
155;0.71762;RUN-TEST/IDLE
156;0.718648;SELECT-DR-SCAN
157;0.71865;SELECT-IR-SCAN
158;0.718652;CAPTURE-IR
159;0.718654;SHIFT-IR
160;0.719617;SHIFT-IR
161;0.719619;SHIFT-IR
162;0.719621;SHIFT-IR
163;0.719623;SHIFT-IR
164;0.719625;SHIFT-IR
165;0.719627;SHIFT-IR
166;0.719629;SHIFT-IR
167;0.719631;EXIT1-IR
168;0.720626;PAUSE-IR
169;0.721658;EXIT2-IR
170;0.722649;UPDATE-IR
171;0.723618;SELECT-DR-SCAN
172;0.724618;CAPTURE-DR
173;0.725618;EXIT1-DR
174;0.726619;PAUSE-DR
175;0.727651;EXIT2-DR
176;0.728649;UPDATE-DR
177;0.72965;RUN-TEST/IDLE
178;0.820451;SELECT-DR-SCAN
179;0.82177;CAPTURE-DR
180;0.822792;EXIT1-DR
181;0.823834;PAUSE-DR
182;0.829426;EXIT2-DR
183;0.829428;UPDATE-DR
184;0.82943;RUN-TEST/IDLE
185;0.830606;SELECT-DR-SCAN
186;0.830608;SELECT-IR-SCAN
